CATEGORIA;CCAA;PROVINCIA;VALORACION_POR_CATEGORIA;TOTAL_OPINIONES_CATEGORIA;VALORACION_GENERAL;;;;;;;Err:501
Comida y Bebida;Pais Vasco;Gipuzkoa;3,87;273;4,4;;;;;;;
Compras;Andalucia;Almeria;4,34;657;4,26;;;;;;;
Compras;Andalucia;Cadiz;3,98;418;4,31;;;;;;;
Compras;Andalucia;Cordoba;4,27;451;4,31;;;;;;;
Compras;Andalucia;Granada;4,3;3099;4,41;;;;;;;
Compras;Andalucia;Huelva;4,06;297;4,15;;;;;;;
Compras;Andalucia;Jaen;4,77;122;4,39;;;;;;;
Compras;Andalucia;Malaga;4,4;6249;4,46;;;;;;;
Compras;Andalucia;Sevilla;4,08;3367;4,36;;;;;;;
Compras;Aragon;Huesca;4,27;109;4,27;;;;;;;
Compras;Aragon;Teruel;4,11;58;4,28;;;;;;;
Compras;Aragon;Zaragoza;4,46;1105;4,22;;;;;;;
Compras;Canarias;Las Palmas;3,95;6955;4,28;;;;;;;
Compras;Canarias;Santa Cruz de Tenerife;4,13;3350;4,29;;;;;;;
Compras;Cantabria;Cantabria;4,06;463;4,31;;;;;;;
Compras;Castilla La Mancha;Albacete;3,19;33;4,14;;;;;;;
Compras;Castilla;Ciudad;4,54;59;4,32;;;;;;;
Compras;Castilla;Cuenca;4,54;24;4,23;;;;;;;
Compras;Castilla;Guadalajara;4,51;41;4,1;;;;;;;
Compras;Castilla;Toledo;4,76;1094;4,23;;;;;;;
Compras;Castilla y Leon;Burgos;4,37;52;4,33;;;;;;;
Compras;Castilla y Leon;Len;4,33;165;4,26;;;;;;;
Compras;Castilla y Leon;Palencia;3,86;59;4,38;;;;;;;
Compras;Castilla y Leon;Salamanca;4,6;157;4,21;;;;;;;
Compras;Castilla y Leon;Segovia;4,53;148;4,1;;;;;;;
Compras;Castilla y Leon;Soria;4,48;22;3,96;;;;;;;
Compras;Castilla y Leon;Valladolid;4,05;224;4,06;;;;;;;
Compras;Castilla y Leon;Zamora;4,32;107;4,21;;;;;;;
Compras;Castilla y Leon;Avila;3,27;24;4,24;;;;;;;
Compras;Cataluña;Barcelona;3,72;44046;4,12;;;;;;;
Compras;Cataluña;Girona;4,03;1913;4,28;;;;;;;
Compras;Cataluña;Lleida;4,32;80;4,27;;;;;;;
Compras;Cataluña;Tarragona;4,24;913;4,22;;;;;;;
Compras;Comunidad Foral De Navarra;Navarra;4,35;236;4,27;;;;;;;
Compras;Comunidad De Madrid;Madrid;3,98;37284;4,19;;;;;;;
Compras;Comunitat Valenciana;Alicante/Alacant;4,11;4180;4,29;;;;;;;
Compras;Comunitat Valenciana;Castellon/Castello;4,31;375;4,27;;;;;;;
Compras;Comunitat Valenciana;Valencia/Valencia;3,78;27244;4,2;;;;;;;
Compras;Extremadura;Badajoz;4,5;225;4,34;;;;;;;
Compras;Extremadura;Caceres;4,63;187;4,39;;;;;;;
Compras;Galicia;A Coruña;4,06;2042;4,26;;;;;;;
Compras;Galicia;Lugo;4,39;85;4,29;;;;;;;
Compras;Galicia;Ourense;4,6;89;4,23;;;;;;;
Compras;Galicia;Pontevedra;4,02;1091;4,2;;;;;;;
Compras;Illes Baleares;Balears;4,19;7256;4,36;;;;;;;
Compras;La Rioja;La Rioja;4,26;389;4,33;;;;;;;
